Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Goals
15/16,Copa del Rey,Semi-Finals,02-03-2016,H,FC Barcelona,Valencia CF,Win,RW,74,05:00:00,Left-footed shot,NA,436
15/16,LaLiga,24,2/14/16,H,FC Barcelona,Celta de Vigo,Win,RW,28,01:00:00,Direct free kick,NA,437
15/16,LaLiga,16,2/17/16,A,FC Barcelona,Sporting GijÃ³n,Loss,RW,25,00:01:00,Left-footed shot,Luis Suarez,438
15/16,LaLiga,16,2/17/16,A,FC Barcelona,Sporting GijÃ³n,Loss,RW,31,01:02:00,Left-footed shot,Luis Suarez,439
15/16,UEFA Champions League,last 16,2/23/16,A,FC Barcelona,Arsenal FC,Loss,RW,71,00:01:00,Left-footed shot,Neymar,440
15/16,UEFA Champions League,last 16,2/23/16,A,FC Barcelona,Arsenal FC,Loss,RW,83,00:02:00,Penalty,NA,441
15/16,LaLiga,26,2/28/16,H,FC Barcelona,Sevilla FC,Win,RW,31,01:01:00,Direct free kick,NA,442
15/16,LaLiga,27,03-03-2016,A,FC Barcelona,Rayo Vallecano,Loss,RW,23,00:02:00,Left-footed shot,Neymar,443
15/16,LaLiga,27,03-03-2016,A,FC Barcelona,Rayo Vallecano,Loss,RW,53,00:03:00,Left-footed shot,NA,444
15/16,LaLiga,27,03-03-2016,A,FC Barcelona,Rayo Vallecano,Loss,RW,72,01:04:00,Left-footed shot,Sergio Busquets,445
15/16,LaLiga,28,03-06-2016,A,FC Barcelona,SD Eibar,Loss,RW,42,00:02:00,Left-footed shot,Munir El Haddadi,446
15/16,LaLiga,28,03-06-2016,A,FC Barcelona,SD Eibar,Loss,RW,76,00:03:00,Penalty,NA,447
15/16,LaLiga,29,03-12-2016,H,FC Barcelona,Getafe CF,Win,CF,41,04:00:00,Left-footed shot,Arda Turan,448
15/16,UEFA Champions League,last 16,3/16/16,H,FC Barcelona,Arsenal FC,Win,RW,86,03:01:00,Left-footed shot,Neymar,449
15/16,LaLiga,33,4/17/16,H,FC Barcelona,Valencia CF,Win,RW,63,01:02:00,Left-footed shot,Jordi Alba,450
15/16,LaLiga,34,4/20/16,A,FC Barcelona,Deportivo de La Coruaa,Loss,RW,73,00:06:00,Left-footed shot,Luis Suarez,451
15/16,LaLiga,35,4/23/16,H,FC Barcelona,Sporting GijÃ³n,Win,RW,13,01:00:00,Header,NA,452
15/16,LaLiga,37,05-08-2016,H,FC Barcelona,RCD Espanyol Barcelona,Win,RW,8,01:00:00,Direct free kick,NA,453
16/17,Supercopa,final,8/17/16,H,FC Barcelona,Sevilla FC,Win,RW,55,03:00:00,Header,Lucas Digne,454
16/17,LaLiga,1,8/20/16,H,FC Barcelona,Real Betis Balompie,Win,RW,37,02:01:00,Left-footed shot,Sergi Roberto,455
16/17,LaLiga,1,8/20/16,H,FC Barcelona,Real Betis Balompie,Win,RW,58,05:01:00,Left-footed shot,Arda Turan,456
16/17,UEFA Champions League,Group Stage,9/13/16,H,FC Barcelona,Celtic FC,Win,RW,3,01:00:00,Left-footed shot,Neymar,457
16/17,UEFA Champions League,Group Stage,9/13/16,H,FC Barcelona,Celtic FC,Win,RW,27,02:00:00,Left-footed shot,Neymar,458
16/17,UEFA Champions League,Group Stage,9/13/16,H,FC Barcelona,Celtic FC,Win,RW,60,05:00:00,Left-footed shot,Luis Suarez,459
16/17,LaLiga,4,9/17/16,A,FC Barcelona,CD Leganes,Loss,RW,15,00:01:00,Left-footed shot,Luis Suarez,460
16/17,LaLiga,4,9/17/16,A,FC Barcelona,CD Leganes,Loss,RW,55,00:04:00,Penalty,NA,461
16/17,LaLiga,8,10/15/16,H,FC Barcelona,Deportivo de La Coruaa,Win,RW,58,04:00:00,Left-footed shot,Neymar,462
16/17,UEFA Champions League,Group Stage,10/19/16,H,FC Barcelona,Manchester City,Win,RW,17,01:00:00,Left-footed shot,Andres Iniesta,463
16/17,UEFA Champions League,Group Stage,10/19/16,H,FC Barcelona,Manchester City,Win,RW,61,02:00:00,Left-footed shot,Andres Iniesta,464
16/17,UEFA Champions League,Group Stage,10/19/16,H,FC Barcelona,Manchester City,Win,RW,69,03:00:00,Left-footed shot,Luis Suarez,465
16/17,LaLiga,9,10/22/16,A,FC Barcelona,Valencia CF,Loss,RW,22,00:01:00,Left-footed shot,Ivan Rakitic,466
16/17,LaLiga,9,10/22/16,A,FC Barcelona,Valencia CF,Loss,RW,90+4,02:03:00,Penalty,NA,467
16/17,UEFA Champions League,Group Stage,11-01-2016,A,FC Barcelona,Manchester City,Loss,RW,21,00:01:00,Left-footed shot,Neymar,468
16/17,LaLiga,11,11-06-2016,A,FC Barcelona,Sevilla FC,Loss,RW,43,01:01:00,Left-footed shot,Neymar,469
16/17,UEFA Champions League,Group Stage,11/23/16,A,FC Barcelona,Celtic FC,Loss,RW,24,00:01:00,Left-footed shot,Neymar,470
16/17,UEFA Champions League,Group Stage,11/23/16,A,FC Barcelona,Celtic FC,Loss,RW,55,00:02:00,Penalty,NA,471
16/17,LaLiga,13,11/27/16,A,FC Barcelona,Real Sociedad,Loss,RW,59,01:01:00,Left-footed shot,Neymar,472
16/17,UEFA Champions League,Group Stage,12-06-2016,H,FC Barcelona,Borussia MÃ¶nchengladbach,Win,RW,16,01:00:00,Left-footed shot,Arda Turan,473
16/17,LaLiga,15,12-10-2016,A,FC Barcelona,CA Osasuna,Loss,RW,72,00:02:00,Left-footed shot,Jordi Alba,474
16/17,LaLiga,15,12-10-2016,A,FC Barcelona,CA Osasuna,Loss,RW,90+2,00:03:00,Left-footed shot,Sergio Busquets,475
16/17,LaLiga,16,12/18/16,H,FC Barcelona,RCD Espanyol Barcelona,Win,RW,90,04:01:00,Left-footed shot,Luis Suarez,476
16/17,Copa del Rey,last 16,01-05-2017,A,FC Barcelona,Athletic Bilbao,Loss,RW,52,02:01:00,Direct free kick,NA,477
16/17,LaLiga,17,01-08-2017,A,FC Barcelona,Villarreal CF,Loss,RW,90,01:01:00,Direct free kick,NA,478
16/17,Copa del Rey,last 16,01-11-2017,H,FC Barcelona,Athletic Bilbao,Win,RW,78,03:01:00,Direct free kick,NA,479
16/17,LaLiga,18,1/14/17,H,FC Barcelona,UD Las Palmas,Win,RW,52,02:00:00,Right-footed shot,NA,480
16/17,LaLiga,19,1/22/17,A,FC Barcelona,SD Eibar,Loss,RW,50,00:02:00,Left-footed shot,Luis Suarez,481
16/17,Copa del Rey,Quarter-Finals,1/26/17,H,FC Barcelona,Real Sociedad,Win,RW,55,02:00:00,Penalty,NA,482
16/17,Copa del Rey,Semi-Finals,02-01-2017,A,FC Barcelona,Atletico de Madrid,Loss,RW,33,00:02:00,Left-footed shot,Ivan Rakitic,483
16/17,LaLiga,21,02-04-2017,H,FC Barcelona,Athletic Bilbao,Win,RW,40,02:00:00,Direct free kick,NA,484
16/17,LaLiga,22,02-11-2017,A,FC Barcelona,Deportivo Alaves,Loss,RW,59,00:03:00,Left-footed shot,Neymar,485
16/17,LaLiga,23,2/19/17,H,FC Barcelona,CD Leganes,Win,RW,4,01:00:00,Right-footed shot,Luis Suarez,486
16/17,LaLiga,23,2/19/17,H,FC Barcelona,CD Leganes,Win,RW,90,02:01:00,Penalty,NA,487
16/17,LaLiga,24,2/26/17,A,FC Barcelona,Atletico de Madrid,Loss,RW,86,01:02:00,Left-footed shot,NA,488
16/17,LaLiga,25,03-01-2017,H,FC Barcelona,Sporting GijÃ³n,Win,RW,9,01:00:00,Header,Javier Mascherano,489
16/17,LaLiga,26,03-04-2017,H,FC Barcelona,Celta de Vigo,Win,AM,24,01:00:00,Left-footed shot,Sergio Busquets,490
16/17,LaLiga,26,03-04-2017,H,FC Barcelona,Celta de Vigo,Win,AM,64,05:00:00,Left-footed shot,NA,491
16/17,UEFA Champions League,last 16,03-08-2017,H,FC Barcelona,Paris Saint-Germain,Win,AM,50,03:00:00,Penalty,NA,492
16/17,LaLiga,28,3/19/17,H,FC Barcelona,Valencia CF,Win,AM,45,02:01:00,Penalty,NA,493
16/17,LaLiga,28,3/19/17,H,FC Barcelona,Valencia CF,Win,AM,53,03:02:00,Right-footed shot,Javier Mascherano,494
16/17,LaLiga,30,04-05-2017,H,FC Barcelona,Sevilla FC,Win,RW,28,02:00:00,Right-footed shot,Luis Suarez,495
16/17,LaLiga,30,04-05-2017,H,FC Barcelona,Sevilla FC,Win,RW,33,03:00:00,Left-footed shot,NA,496
16/17,LaLiga,32,4/15/17,H,FC Barcelona,Real Sociedad,Win,RW,17,01:00:00,Left-footed shot,Luis Suarez,497
16/17,LaLiga,32,4/15/17,H,FC Barcelona,Real Sociedad,Win,RW,37,02:00:00,Tap-in,NA,498
16/17,LaLiga,33,4/23/17,A,FC Barcelona,Real Madrid,Loss,RW,33,01:01:00,Left-footed shot,Ivan Rakitic,499
16/17,LaLiga,33,4/23/17,A,FC Barcelona,Real Madrid,Loss,RW,90+2,02:03:00,Left-footed shot,Jordi Alba,500
16/17,LaLiga,34,4/26/17,H,FC Barcelona,CA Osasuna,Win,AM,12,01:00:00,Left-footed shot,NA,501
16/17,LaLiga,34,4/26/17,H,FC Barcelona,CA Osasuna,Win,AM,61,04:01:00,Left-footed shot,Ivan Rakitic,502
16/17,LaLiga,36,05-06-2017,H,FC Barcelona,Villarreal CF,Win,RW,45,02:01:00,Left-footed shot,Sergio Busquets,503
16/17,LaLiga,36,05-06-2017,H,FC Barcelona,Villarreal CF,Win,RW,82,04:01:00,Penalty,NA,504
16/17,LaLiga,38,5/21/17,H,FC Barcelona,SD Eibar,Win,RW,75,03:02:00,Penalty,NA,505
16/17,LaLiga,38,5/21/17,H,FC Barcelona,SD Eibar,Win,RW,90+2,04:02:00,Right-footed shot,NA,506
16/17,Copa del Rey,Final,5/27/17,H,FC Barcelona,Deportivo Alaves,Win,RW,30,01:00:00,Left-footed shot,Neymar,507
17/18,Supercopa,final,8/13/17,H,FC Barcelona,Real Madrid,Win,RW,77,01:01:00,Penalty,NA,508
17/18,LaLiga,2,8/26/17,A,FC Barcelona,Deportivo Alaves,Loss,CF,55,00:01:00,Left-footed shot,Jordi Alba,509
17/18,LaLiga,2,8/26/17,A,FC Barcelona,Deportivo Alaves,Loss,CF,66,00:02:00,Left-footed shot,Paco Alcacer,510
17/18,LaLiga,3,09-09-2017,H,FC Barcelona,RCD Espanyol Barcelona,Win,CF,26,01:00:00,Left-footed shot,Ivan Rakitic,511
17/18,LaLiga,3,09-09-2017,H,FC Barcelona,RCD Espanyol Barcelona,Win,CF,35,02:00:00,Right-footed shot,Jordi Alba,512
17/18,LaLiga,3,09-09-2017,H,FC Barcelona,RCD Espanyol Barcelona,Win,CF,67,03:00:00,Left-footed shot,Jordi Alba,513
17/18,UEFA Champions League,Group Stage,09-12-2017,H,FC Barcelona,Juventus FC,Win,CF,45,01:00:00,Left-footed shot,Luis Suarez,514
17/18,UEFA Champions League,Group Stage,09-12-2017,H,FC Barcelona,Juventus FC,Win,CF,69,03:00:00,Left-footed shot,NA,515
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,Win,CF,21,01:00:00,Penalty,NA,516
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,Win,CF,59,04:01:00,Left-footed shot,Sergio Busquets,517
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,Win,CF,62,05:01:00,Left-footed shot,Paulinho,518
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,Win,CF,87,06:01:00,Left-footed shot,Aleix Vidal,519
17/18,LaLiga,7,10-01-2017,H,FC Barcelona,UD Las Palmas,Win,SS,70,02:00:00,Left-footed shot,Denis Suarez,520
17/18,LaLiga,7,10-01-2017,H,FC Barcelona,UD Las Palmas,Win,SS,77,03:00:00,Left-footed shot,Luis Suarez,521
17/18,UEFA Champions League,Group Stage,10/18/17,H,FC Barcelona,Olympiacos Piraeus,Win,CF,61,02:00:00,Direct free kick,NA,522
17/18,LaLiga,10,10/28/17,A,FC Barcelona,Athletic Bilbao,Loss,SS,37,00:01:00,Left-footed shot,Jordi Alba,523
17/18,LaLiga,14,12-02-2017,H,FC Barcelona,Celta de Vigo,Win,SS,22,01:01:00,Left-footed shot,Paulinho,524
17/18,LaLiga,15,12-10-2017,A,FC Barcelona,Villarreal CF,Loss,RW,83,00:02:00,Left-footed shot,Sergio Busquets,525
17/18,LaLiga,17,12/23/17,A,FC Barcelona,Real Madrid,Loss,SS,64,00:02:00,Penalty,NA,526
17/18,LaLiga,18,01-07-2018,H,FC Barcelona,Levante UD,Win,SS,12,01:00:00,Left-footed shot,Jordi Alba,527
17/18,Copa del Rey,last 16,01-11-2018,H,FC Barcelona,Celta de Vigo,Win,SS,13,01:00:00,Left-footed shot,Jordi Alba,528
17/18,Copa del Rey,last 16,01-11-2018,H,FC Barcelona,Celta de Vigo,Win,SS,15,02:00:00,Left-footed shot,Jordi Alba,529
17/18,LaLiga,19,1/14/18,A,FC Barcelona,Real Sociedad,Loss,SS,85,02:04:00,Direct free kick,NA,530
17/18,LaLiga,20,1/21/18,A,FC Barcelona,Real Betis Balompie,Loss,SS,64,00:02:00,Left-footed shot,Sergio Busquets,531
17/18,LaLiga,20,1/21/18,A,FC Barcelona,Real Betis Balompie,Loss,SS,80,00:04:00,Left-footed shot,Luis Suarez,532
17/18,Copa del Rey,Quarter-Finals,1/25/18,H,FC Barcelona,RCD Espanyol Barcelona,Win,SS,25,02:00:00,Deflected shot on goal,NA,533
17/18,LaLiga,21,1/28/18,H,FC Barcelona,Deportivo Alaves,Win,SS,84,02:01:00,Direct free kick,NA,534
17/18,UEFA Champions League,last 16,2/20/18,A,FC Barcelona,Chelsea FC,Loss,SS,75,01:01:00,Left-footed shot,Andres Iniesta,535
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,Win,SS,30,02:01:00,Left-footed shot,Luis Suarez,536
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,Win,SS,36,03:01:00,Direct free kick,NA,537
17/18,LaLiga,26,03-01-2018,A,FC Barcelona,UD Las Palmas,Loss,SS,21,00:01:00,Direct free kick,NA,538
17/18,LaLiga,27,03-04-2018,H,FC Barcelona,Atletico de Madrid,Win,SS,26,01:00:00,Direct free kick,NA,539
17/18,UEFA Champions League,last 16,3/14/18,H,FC Barcelona,Chelsea FC,Win,SS,3,01:00:00,Right-footed shot,Luis Suarez,540
17/18,UEFA Champions League,last 16,3/14/18,H,FC Barcelona,Chelsea FC,Win,SS,63,03:00:00,Left-footed shot,Luis Suarez,541
17/18,LaLiga,29,3/18/18,H,FC Barcelona,Athletic Bilbao,Win,SS,30,02:00:00,Left-footed shot,Ousmane Dembele,542
17/18,LaLiga,30,3/31/18,A,FC Barcelona,Sevilla FC,Loss,RW,89,02:02:00,Left-footed shot,Philippe Coutinho,543
17/18,LaLiga,31,04-07-2018,H,FC Barcelona,CD Leganes,Win,SS,27,01:00:00,Direct free kick,NA,544
17/18,LaLiga,31,04-07-2018,H,FC Barcelona,CD Leganes,Win,SS,32,02:00:00,Left-footed shot,Philippe Coutinho,545
17/18,LaLiga,31,04-07-2018,H,FC Barcelona,CD Leganes,Win,SS,87,03:01:00,Left-footed shot,Ousmane Dembele,546
17/18,Copa del Rey,Final,4/21/18,A,FC Barcelona,Sevilla FC,Loss,SS,31,00:02:00,Left-footed shot,Jordi Alba,547
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,Loss,CF,38,00:02:00,Left-footed shot,Luis Suarez,548
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,Loss,CF,82,02:03:00,Right-footed shot,Luis Suarez,549
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,Loss,CF,85,02:04:00,Left-footed shot,Luis Suarez,550
17/18,LaLiga,36,05-06-2018,H,FC Barcelona,Real Madrid,Win,SS,52,02:01:00,Left-footed shot,Luis Suarez,551
17/18,LaLiga,34,05-09-2018,H,FC Barcelona,Villarreal CF,Win,CF,45,03:00:00,Left-footed shot,Andres Iniesta,552
18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,Win,RW,64,01:00:00,Direct free kick,NA,553
18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,Win,RW,90+2,03:00:00,Left-footed shot,Luis Suarez,554
18/19,LaLiga,3,09-02-2018,H,FC Barcelona,SD Huesca,Win,RW,16,01:01:00,Right-footed shot,Ivan Rakitic,555
18/19,LaLiga,3,09-02-2018,H,FC Barcelona,SD Huesca,Win,RW,61,06:02:00,Left-footed shot,Philippe Coutinho,556
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,Win,RW,31,01:00:00,Direct free kick,NA,557
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,Win,RW,77,03:00:00,Left-footed shot,Ivan Rakitic,558
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,Win,RW,87,04:00:00,Right-footed shot,Luis Suarez,559
18/19,LaLiga,5,9/23/18,H,FC Barcelona,Girona FC,Win,RW,19,01:00:00,Left-footed shot,Arturo Vidal,560
18/19,UEFA Champions League,Group Stage,10-03-2018,A,FC Barcelona,Tottenham Hotspur,Loss,RW,56,01:03:00,Left-footed shot,Jordi Alba,561
18/19,UEFA Champions League,Group Stage,10-03-2018,A,FC Barcelona,Tottenham Hotspur,Loss,RW,90,02:04:00,Left-footed shot,Jordi Alba,562
18/19,LaLiga,8,10-07-2018,A,FC Barcelona,Valencia CF,Loss,RW,23,01:01:00,Left-footed shot,Luis Suarez,563
18/19,LaLiga,9,10/20/18,H,FC Barcelona,Sevilla FC,Win,RW,12,02:00:00,Left-footed shot,Luis Suarez,564
18/19,LaLiga,12,11-11-2018,H,FC Barcelona,Real Betis Balompie,Win,SS,68,01:02:00,Penalty,NA,565
18/19,LaLiga,12,11-11-2018,H,FC Barcelona,Real Betis Balompie,Win,SS,90+4,03:04:00,Left-footed shot,Arturo Vidal,566
18/19,UEFA Champions League,Group Stage,11/28/18,A,FC Barcelona,PSV Eindhoven,Loss,CF,61,00:01:00,Left-footed shot,Ousmane Dembele,567
18/19,LaLiga,15,12-08-2018,A,FC Barcelona,RCD Espanyol Barcelona,Loss,RW,17,00:01:00,Direct free kick,NA,568
18/19,LaLiga,15,12-08-2018,A,FC Barcelona,RCD Espanyol Barcelona,Loss,RW,65,00:04:00,Direct free kick,NA,569
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,Loss,SS,43,00:02:00,Right-footed shot,Sergio Busquets,570
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,Loss,SS,47,00:03:00,Left-footed shot,NA,571
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,Loss,SS,60,00:04:00,Left-footed shot,Arturo Vidal,572
18/19,LaLiga,17,12/22/18,H,FC Barcelona,Celta de Vigo,Win,RW,45,02:00:00,Left-footed shot,Jordi Alba,573
18/19,LaLiga,18,01-06-2019,A,FC Barcelona,Getafe CF,Loss,RW,20,00:01:00,Left-footed shot,NA,574
18/19,LaLiga,19,1/13/19,H,FC Barcelona,SD Eibar,Win,RW,53,02:00:00,Left-footed shot,Luis Suarez,575
18/19,Copa del Rey,last 16,1/17/19,H,FC Barcelona,Levante UD,Win,CF,54,03:00:00,Left-footed shot,Nelson Semedo,576
18/19,LaLiga,20,1/20/19,H,FC Barcelona,CD Leganes,Win,SS,90+2,03:01:00,Right-footed shot,Jordi Alba,577
18/19,LaLiga,21,1/27/19,A,FC Barcelona,Girona FC,Loss,RW,69,00:02:00,Left-footed shot,Jordi Alba,578
18/19,Copa del Rey,Quarter-Finals,1/30/19,H,FC Barcelona,Sevilla FC,Win,RW,90+2,06:01:00,Left-footed shot,Jordi Alba,579
18/19,LaLiga,22,02-02-2019,H,FC Barcelona,Valencia CF,Win,RW,39,01:02:00,Penalty,NA,580
18/19,LaLiga,22,02-02-2019,H,FC Barcelona,Valencia CF,Win,RW,64,02:02:00,Left-footed shot,Arturo Vidal,581
18/19,LaLiga,24,2/16/19,H,FC Barcelona,Real Valladolid CF,Win,RW,43,01:00:00,Penalty,NA,582
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,Loss,RW,26,01:01:00,Left-footed shot,Ivan Rakitic,583
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,Loss,RW,67,02:02:00,Right-footed shot,Ousmane Dembele,584
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,Loss,RW,85,02:03:00,Left-footed shot,NA,585
18/19,LaLiga,27,03-09-2019,H,FC Barcelona,Rayo Vallecano,Win,RW,51,02:01:00,Penalty,NA,586
18/19,UEFA Champions League,last 16,3/13/19,H,FC Barcelona,Olympique Lyon,Win,RW,18,01:00:00,Penalty,NA,587
18/19,UEFA Champions League,last 16,3/13/19,H,FC Barcelona,Olympique Lyon,Win,RW,78,03:01:00,Right-footed shot,Sergio Busquets,588
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,Loss,SS,18,00:01:00,Direct free kick,NA,589
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,Loss,SS,45+2,00:02:00,Left-footed shot,Luis Suarez,590
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,Loss,SS,85,01:04:00,Left-footed shot,Ivan Rakitic,591
18/19,LaLiga,29,3/30/19,H,FC Barcelona,RCD Espanyol Barcelona,Win,RW,71,01:00:00,Direct free kick,NA,592
18/19,LaLiga,29,3/30/19,H,FC Barcelona,RCD Espanyol Barcelona,Win,RW,89,02:00:00,Left-footed shot,Malcom,593
18/19,LaLiga,30,04-02-2019,A,FC Barcelona,Villarreal CF,Loss,RW,90,04:03:00,Direct free kick,NA,594
18/19,LaLiga,31,04-06-2019,H,FC Barcelona,Atletico de Madrid,Win,SS,87,02:00:00,Left-footed shot,NA,595
18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,Win,RW,16,01:00:00,Left-footed shot,NA,596
18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,Win,RW,20,02:00:00,Right-footed shot,NA,597
18/19,LaLiga,35,4/27/19,H,FC Barcelona,Levante UD,Win,RW,62,01:00:00,Left-footed shot,Arturo Vidal,598
18/19,UEFA Champions League,Semi-Finals,05-01-2019,H,FC Barcelona,Liverpool FC,Win,RW,75,02:00:00,Left-footed shot,Luis Suarez,599
18/19,UEFA Champions League,Semi-Finals,05-01-2019,H,FC Barcelona,Liverpool FC,Win,RW,82,03:00:00,Direct free kick,NA,600
18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,Loss,CF,31,01:01:00,Left-footed shot,Arturo Vidal,601
18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,Loss,CF,32,01:02:00,Left-footed shot,Ivan Rakitic,602
18/19,Copa del Rey,Final,5/25/19,H,FC Barcelona,Valencia CF,Win,CF,73,01:02:00,Left-footed shot,Clement Lenglet,603
19/20,LaLiga,8,10-06-2019,H,FC Barcelona,Sevilla FC,Win,RW,78,04:00:00,Direct free kick,NA,604
19/20,LaLiga,9,10/19/19,A,FC Barcelona,SD Eibar,Loss,RW,58,00:02:00,Left-footed shot,Antoine Griezmann,605
19/20,UEFA Champions League,Group Stage,10/23/19,A,FC Barcelona,SK Slavia Prague,Loss,RW,3,00:01:00,Left-footed shot,Arthur,606
19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,Win,RW,34,03:01:00,Direct free kick,NA,607
19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,Win,RW,75,04:01:00,Left-footed shot,Ivan Rakitic,608
19/20,LaLiga,12,11-02-2019,A,FC Barcelona,Levante UD,Loss,RW,38,00:01:00,Penalty,NA,609
19/20,LaLiga,13,11-09-2019,H,FC Barcelona,Celta de Vigo,Win,RW,23,01:00:00,Penalty,NA,610
19/20,LaLiga,13,11-09-2019,H,FC Barcelona,Celta de Vigo,Win,RW,45+1,02:01:00,Direct free kick,NA,611
19/20,LaLiga,13,11-09-2019,H,FC Barcelona,Celta de Vigo,Win,RW,48,03:01:00,Direct free kick,NA,612
19/20,UEFA Champions League,Group Stage,11/27/19,H,FC Barcelona,Borussia Dortmund,Win,RW,33,02:00:00,Left-footed shot,Luis Suarez,613
19/20,LaLiga,15,12-01-2019,A,FC Barcelona,Atletico de Madrid,Loss,RW,86,00:01:00,Left-footed shot,Luis Suarez,614
19/20,LaLiga,16,12-07-2019,H,FC Barcelona,RCD Mallorca,Win,RW,17,02:00:00,Left-footed shot,Antoine Griezmann,615
19/20,LaLiga,16,12-07-2019,H,FC Barcelona,RCD Mallorca,Win,RW,41,03:01:00,Left-footed shot,Ivan Rakitic,616
19/20,LaLiga,16,12-07-2019,H,FC Barcelona,RCD Mallorca,Win,RW,83,05:02:00,Left-footed shot,Luis Suarez,617
19/20,LaLiga,18,12/21/19,H,FC Barcelona,Deportivo Alaves,Win,RW,69,03:01:00,Left-footed shot,Luis Suarez,618
19/20,Supercopa,Semi-Finals,01-09-2020,H,FC Barcelona,Atletico de Madrid,Win,RW,51,01:01:00,Right-footed shot,Luis Suarez,619
19/20,LaLiga,20,1/19/20,H,FC Barcelona,Granada CF,Win,CF,76,01:00:00,Right-footed shot,Arturo Vidal,620
19/20,Copa del Rey,Round of 16,1/30/20,H,FC Barcelona,CD Leganes,Win,RW,59,03:00:00,Left-footed shot,Frenkie de Jong,621
19/20,Copa del Rey,Round of 16,1/30/20,H,FC Barcelona,CD Leganes,Win,RW,89,05:00:00,Left-footed shot,Ivan Rakitic,622
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,Win,SS,14,01:00:00,Left-footed shot,Ivan Rakitic,623
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,Win,SS,37,02:00:00,Left-footed shot,Arturo Vidal,624
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,Win,SS,40,03:00:00,Left-footed shot,NA,625
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,Win,SS,87,04:00:00,Left-footed shot,NA,626
19/20,LaLiga,27,03-07-2020,H,FC Barcelona,Real Sociedad,Win,CF,81,01:00:00,Penalty,NA,627
19/20,LaLiga,28,6/13/20,A,FC Barcelona,RCD Mallorca,Loss,RW,90+3,00:04:00,Right-footed shot,Luis Suarez,628
19/20,LaLiga,29,6/16/20,H,FC Barcelona,CD Leganes,Win,RW,69,02:00:00,Penalty,NA,629
19/20,LaLiga,33,6/30/20,H,FC Barcelona,Atletico de Madrid,Win,SS,50,02:01:00,Penalty,NA,630
19/20,LaLiga,37,7/16/20,H,FC Barcelona,CA Osasuna,Win,RW,62,01:01:00,Direct free kick,NA,631
19/20,LaLiga,38,7/19/20,A,FC Barcelona,Deportivo Alaves,Loss,RW,34,00:02:00,Left-footed shot,Riqui Puig,632
19/20,LaLiga,38,7/19/20,A,FC Barcelona,Deportivo Alaves,Loss,RW,75,00:05:00,Left-footed shot,Jordi Alba,633
19/20,UEFA Champions League,last 16,08-08-2020,H,FC Barcelona,SSC Napoli,Win,SS,23,02:00:00,Left-footed shot,NA,634
20/21,LaLiga,3,9/27/20,H,FC Barcelona,Villarreal CF,Win,CF,35,03:00:00,Penalty,NA,635
20/21,UEFA Champions League,Group Stage,10/20/20,H,FC Barcelona,Ferencvarosi TC,Win,CF,27,01:00:00,Penalty,NA,636
20/21,UEFA Champions League,Group Stage,10/28/20,A,FC Barcelona,Juventus FC,Loss,CF,90+1,00:02:00,Penalty,NA,637
